,datetime,Obs
0,1880-01,
1,1880-02,
2,1880-03,
3,1880-04,
4,1880-05,
5,1880-06,
6,1880-07,
7,1880-08,
8,1880-09,
9,1880-10,
10,1880-11,
11,1880-12,
12,1881-01,
13,1881-02,
14,1881-03,
15,1881-04,
16,1881-05,
17,1881-06,
18,1881-07,
19,1881-08,
20,1881-09,
21,1881-10,
22,1881-11,
23,1881-12,
24,1882-01,
25,1882-02,
26,1882-03,
27,1882-04,
28,1882-05,
29,1882-06,
30,1882-07,
31,1882-08,
32,1882-09,
33,1882-10,
34,1882-11,
35,1882-12,
36,1883-01,
37,1883-02,
38,1883-03,
39,1883-04,
40,1883-05,
41,1883-06,
42,1883-07,
43,1883-08,
44,1883-09,
45,1883-10,
46,1883-11,
47,1883-12,
48,1884-01,
49,1884-02,
50,1884-03,
51,1884-04,
52,1884-05,
53,1884-06,
54,1884-07,
55,1884-08,
56,1884-09,
57,1884-10,
58,1884-11,
59,1884-12,
60,1885-01,
61,1885-02,
62,1885-03,
63,1885-04,
64,1885-05,
65,1885-06,
66,1885-07,
67,1885-08,
68,1885-09,
69,1885-10,
70,1885-11,
71,1885-12,
72,1886-01,
73,1886-02,
74,1886-03,
75,1886-04,
76,1886-05,
77,1886-06,
78,1886-07,
79,1886-08,
80,1886-09,
81,1886-10,
82,1886-11,
83,1886-12,
84,1887-01,
85,1887-02,
86,1887-03,
87,1887-04,
88,1887-05,
89,1887-06,
90,1887-07,
91,1887-08,
92,1887-09,
93,1887-10,
94,1887-11,
95,1887-12,
96,1888-01,
97,1888-02,
98,1888-03,
99,1888-04,
100,1888-05,
101,1888-06,
102,1888-07,
103,1888-08,
104,1888-09,
105,1888-10,
106,1888-11,
107,1888-12,
108,1889-01,
109,1889-02,
110,1889-03,
111,1889-04,
112,1889-05,
113,1889-06,
114,1889-07,
115,1889-08,
116,1889-09,
117,1889-10,
118,1889-11,
119,1889-12,
120,1890-01,
121,1890-02,
122,1890-03,
123,1890-04,
124,1890-05,
125,1890-06,
126,1890-07,
127,1890-08,
128,1890-09,
129,1890-10,
130,1890-11,
131,1890-12,
132,1891-01,
133,1891-02,
134,1891-03,
135,1891-04,
136,1891-05,
137,1891-06,
138,1891-07,
139,1891-08,
140,1891-09,
141,1891-10,
142,1891-11,
143,1891-12,
144,1892-01,
145,1892-02,
146,1892-03,
147,1892-04,
148,1892-05,
149,1892-06,
150,1892-07,
151,1892-08,
152,1892-09,
153,1892-10,
154,1892-11,
155,1892-12,
156,1893-01,
157,1893-02,
158,1893-03,
159,1893-04,
160,1893-05,
161,1893-06,
162,1893-07,
163,1893-08,
164,1893-09,
165,1893-10,
166,1893-11,
167,1893-12,
168,1894-01,
169,1894-02,
170,1894-03,
171,1894-04,
172,1894-05,
173,1894-06,
174,1894-07,
175,1894-08,
176,1894-09,
177,1894-10,
178,1894-11,
