,datetime,Obs
0,1950-01,
1,1950-02,
2,1950-03,
3,1950-04,
4,1950-05,
5,1950-06,
6,1950-07,
7,1950-08,
8,1950-09,
9,1950-10,
10,1950-11,
11,1950-12,
12,1951-01,
13,1951-02,
14,1951-03,
15,1951-04,
16,1951-05,
17,1951-06,
18,1951-07,
19,1951-08,
20,1951-09,
21,1951-10,
22,1951-11,
23,1951-12,
24,1952-01,
25,1952-02,
26,1952-03,
27,1952-04,
28,1952-05,
29,1952-06,
30,1952-07,
31,1952-08,
32,1952-09,
33,1952-10,
34,1952-11,
35,1952-12,
36,1953-01,
37,1953-02,
38,1953-03,
39,1953-04,
40,1953-05,
41,1953-06,
42,1953-07,
43,1953-08,
44,1953-09,
45,1953-10,
46,1953-11,
47,1953-12,
48,1954-01,
49,1954-02,
50,1954-03,
51,1954-04,
52,1954-05,
53,1954-06,
54,1954-07,
55,1954-08,
56,1954-09,
57,1954-10,
58,1954-11,
59,1954-12,
60,1955-01,
61,1955-02,
62,1955-03,
63,1955-04,
64,1955-05,
65,1955-06,
66,1955-07,
67,1955-08,
68,1955-09,
69,1955-10,
70,1955-11,
71,1955-12,
72,1956-01,
73,1956-02,
74,1956-03,
75,1956-04,
76,1956-05,
77,1956-06,
78,1956-07,
79,1956-08,
80,1956-09,
81,1956-10,
82,1956-11,
83,1956-12,
84,1957-01,
85,1957-02,
86,1957-03,
87,1957-04,
88,1957-05,
89,1957-06,
90,1957-07,
91,1957-08,
92,1957-09,
93,1957-10,1.2749235352561392
94,1957-11,
95,1957-12,
96,1958-01,
97,1958-02,
98,1958-03,
99,1958-04,
100,1958-05,
101,1958-06,
102,1958-07,
103,1958-08,
104,1958-09,
105,1958-10,
106,1958-11,
107,1958-12,
108,1959-01,
109,1959-02,
110,1959-03,
111,1959-04,
112,1959-05,
113,1959-06,
114,1959-07,
115,1959-08,
116,1959-09,
117,1959-10,
118,1959-11,
119,1959-12,
120,1960-01,
121,1960-02,
122,1960-03,
123,1960-04,
124,1960-05,
125,1960-06,
126,1960-07,
127,1960-08,
128,1960-09,
129,1960-10,
130,1960-11,
131,1960-12,
132,1961-01,
133,1961-02,
134,1961-03,
135,1961-04,
136,1961-05,
137,1961-06,
138,1961-07,
139,1961-08,
140,1961-09,
141,1961-10,
142,1961-11,
143,1961-12,
144,1962-01,
145,1962-02,
146,1962-03,
147,1962-04,
148,1962-05,
149,1962-06,
150,1962-07,
151,1962-08,
152,1962-09,
153,1962-10,
154,1962-11,
155,1962-12,
156,1963-01,
157,1963-02,
158,1963-03,
159,1963-04,
160,1963-05,
161,1963-06,
162,1963-07,
163,1963-08,
164,1963-09,
165,1963-10,
166,1963-11,
167,1963-12,
168,1964-01,
169,1964-02,
