,Time_Obs,Obs
0,1880-Jan,
1,1880-Feb,
2,1880-Mar,
3,1880-Apr,
4,1880-May,
5,1880-Jun,
6,1880-Jul,
7,1880-Aug,
8,1880-Sep,
9,1880-Oct,
10,1880-Nov,
11,1880-Dec,
12,1881-Jan,
13,1881-Feb,
14,1881-Mar,
15,1881-Apr,
16,1881-May,
17,1881-Jun,
18,1881-Jul,
19,1881-Aug,
20,1881-Sep,
21,1881-Oct,
22,1881-Nov,
23,1881-Dec,
24,1882-Jan,
25,1882-Feb,
26,1882-Mar,
27,1882-Apr,
28,1882-May,
29,1882-Jun,
30,1882-Jul,
31,1882-Aug,
32,1882-Sep,
33,1882-Oct,
34,1882-Nov,
35,1882-Dec,
36,1883-Jan,
37,1883-Feb,
38,1883-Mar,
39,1883-Apr,
40,1883-May,
41,1883-Jun,
42,1883-Jul,
43,1883-Aug,
44,1883-Sep,
45,1883-Oct,
46,1883-Nov,
47,1883-Dec,
48,1884-Jan,
49,1884-Feb,
50,1884-Mar,
51,1884-Apr,
52,1884-May,
53,1884-Jun,
54,1884-Jul,
55,1884-Aug,
56,1884-Sep,
57,1884-Oct,
58,1884-Nov,
59,1884-Dec,
60,1885-Jan,
61,1885-Feb,
62,1885-Mar,
63,1885-Apr,
64,1885-May,
65,1885-Jun,
66,1885-Jul,
67,1885-Aug,
68,1885-Sep,
69,1885-Oct,
70,1885-Nov,
71,1885-Dec,
72,1886-Jan,
73,1886-Feb,
74,1886-Mar,
75,1886-Apr,
76,1886-May,
77,1886-Jun,
78,1886-Jul,
79,1886-Aug,
80,1886-Sep,
81,1886-Oct,
82,1886-Nov,
83,1886-Dec,
84,1887-Jan,
85,1887-Feb,
86,1887-Mar,
87,1887-Apr,
88,1887-May,
89,1887-Jun,
90,1887-Jul,
91,1887-Aug,
92,1887-Sep,
93,1887-Oct,
94,1887-Nov,
95,1887-Dec,
96,1888-Jan,
97,1888-Feb,
98,1888-Mar,
99,1888-Apr,
100,1888-May,
101,1888-Jun,
102,1888-Jul,
103,1888-Aug,
104,1888-Sep,
105,1888-Oct,
106,1888-Nov,
107,1888-Dec,
108,1889-Jan,
109,1889-Feb,
110,1889-Mar,
111,1889-Apr,
112,1889-May,
113,1889-Jun,
114,1889-Jul,
115,1889-Aug,
116,1889-Sep,
